Do you drive yourself or use a driver?,Do you attend on Sunday?,When you arrive to the campus on Sunday?,When you leave the campus on Sunday?,Do you attend on Monday?,When you arrive to the campus on Monday?,When you leave the campus on Monday?,Do you attend on Tuesday?,When you arrive to the campus on Tuesday?,When you leave the campus on Tuesday?,Parking Challenge Time,How satisfied are you with the availability of parking spaces on campus?,Provide any additional comments if you wish,Do you attend on Wednesday?,When you arrive to the campus on Wednesday?,When you leave the campus on Wednesday?,Do you attend on Thursday?,When you arrive to the campus on Thursday?,When you leave the campus on Thursday?
Both.,Yes.,9:30 AM,3:30 PM,Yes.,9:30 AM,2:30 PM,Yes.,10:30 AM,3:30 PM,09:50 AM,2,,Yes.,12:00 PM,2:00 PM,Yes.,10:30 AM,3:30 PM
Driver.,Yes.,8:00 AM,2:30 PM,No.,,,Yes.,8:00 AM,2:30 PM,09:50 AM,1,,No.,,,Yes.,8:00 AM,12:00 PM
Drive yourself.,Yes.,8:00 AM,3:00 PM,No.,,,Yes.,8:00 AM,3:00 PM,08:10 AM,1,,No.,,,Yes.,8:00 AM,3:00 PM
Drive yourself.,Yes.,7:00 AM,12:00 PM,No.,,,Yes.,7:00 AM,2:00 PM,08:00 AM,1,,No.,,,Yes.,7:00 AM,12:00 PM
Drive yourself.,Yes.,8:00 AM,12:00 PM,Yes.,10:30 AM,2:30 PM,Yes.,8:00 AM,12:00 PM,08:05 AM,1,,Yes.,9:00 AM,2:00 PM,Yes.,8:00 AM,12:00 PM
Drive yourself.,Yes.,7:30 AM,3:00 PM,Yes.,7:30 AM,9:00 AM,Yes.,7:00 AM,12:00 PM,09:00 AM,2,,No.,,,Yes.,7:30 AM,11:30 AM
Driver.,Yes.,10:00 AM,2:00 PM,No.,,,Yes.,9:00 AM,2:00 PM,09:00 AM,2,,Yes.,8:00 AM,11:00 AM,Yes.,10:00 AM,3:00 PM
Drive yourself.,Yes.,8:00 AM,3:00 PM,Yes.,8:00 AM,4:00 PM,No.,,,08:00 AM,1,,Yes.,10:00 AM,2:30 PM,Yes.,8:00 AM,12:00 PM
Drive yourself.,Yes.,8:00 AM,3:00 PM,Yes.,7:00 AM,4:00 PM,Yes.,8:00 AM,3:00 PM,08:00 AM,1,"There are spaces that have not been utilized for adding extra parking spots, and all the students start at the same time. This forces me to arrive two hours before my lecture to find a parking spot for my car. Also, if there were underground parking spaces, it would prevent the car from overheating in the sun, especially since most of the time it is exposed to the sun, making it extremely hot.",Yes.,8:00 AM,4:00 PM,Yes.,8:00 AM,3:00 PM
Drive yourself.,Yes.,8:00 AM,12:30 PM,Yes.,10:00 AM,12:00 PM,Yes.,7:30 AM,2:00 PM,09:00 AM,1,,Yes.,7:30 AM,10:00 AM,Yes.,7:30 AM,12:00 PM
Drive yourself.,Yes.,8:00 AM,12:00 PM,No.,,,Yes.,8:00 AM,2:00 PM,08:30 AM,1,نبي مواقف زياده ومظلات حرقتنا الشموس,No.,,,Yes.,8:00 AM,12:00 PM
Drive yourself.,Yes.,9:30 AM,3:30 PM,Yes.,7:30 AM,12:00 PM,Yes.,9:30 AM,3:30 PM,08:30 AM,1,I just wish to find a parking in our gate and I don’t need to come before 30min of my lecture,Yes.,7:30 AM,11:00 AM,Yes.,7:30 AM,12:00 PM
Drive yourself.,Yes.,10:00 AM,2:00 PM,Yes.,10:00 AM,2:00 PM,Yes.,10:00 AM,12:30 PM,09:55 AM,2,,Yes.,10:00 AM,12:30 PM,Yes.,9:00 AM,2:00 PM
